Уровень программы,2021,2022,2023,2024,LR_2025,LR_2026,Holt_2025,Holt_2026
5 - ПК,42.0,22.0,68.0,8279.0,8292.0,10767.699999999255,16489.999635979533,24700.99939362705
5 - ПК государственных гражданских служащих,0.0,0.0,0.0,159.0,159.0,206.70000000001164,0.7950795,0.7951590000000001
6 - ПП,2.0,127.0,1010.0,4098.0,4602.0,5919.0999999996275,7156.621152823232,10226.321167548009
7 - ДОП,0.0,15.0,55.0,526.0,553.5,715.3000000000466,990.667689910013,1457.4919044932112
